Prefecture,Japanese,Capital,Area,Population,Male,Female,Annual_Change,Est_Population
Tokyo, 東京都, Shinjuku-ku, 2188.67, 13195974, 6523551, 6672423, 36586, 12869205
Kanagawa, 神奈川県, Yokohama-shi, 2415.86, 9058094, 4543383, 4514711, 9763, 8934423
Osaka, 大阪府, Ōsaka-shi, 1899.28, 8861012, 4279771, 4581241, -4233, 8698609
Aichi, 愛知県, Nagoya-shi, 5165.12, 7416336, 3705395, 3710941, 5617, 7261898
Saitama, 埼玉県, Saitama-shi, 3798.08, 7207139, 3612453, 3594686, 12583, 7117493
Chiba, 千葉県, Chiba-shi, 5156.61, 6214148, 3095664, 3118484, -2141, 6134596
Hyogo, 兵庫県, Kōbe-shi, 8396.16, 5581968, 2669033, 2912935, -6165, 5504516
Hokkaido, 北海道, Sapporo-shi, 83457.00, 5485952, 2591405, 2894547, -20467, 5467326
Fukuoka, 福岡県, Fukuoka-shi, 4978.51, 5079291, 2397299, 2681992, 7323, 5038034
Shizuoka, 静岡県, Shizuoka-shi, 7780.50, 3749274, 1846407, 1902867, -15733, 3694014
Ibaraki, 茨城県, Mito-shi, 6095.72, 2957706, 1474297, 1483409, -12064, 2918842
Hiroshima, 広島県, Hiroshima-shi, 8479.70, 2855045, 1377843, 1477202, -5705, 2823615
Kyoto, 京都府, Kyōto-shi, 4613.21, 2631671, 1262660, 1369011, -4421, 2589740
Niigata, 新潟県, Niigata-shi, 12583.83, 2362158, 1142365, 1219793, -12292, 2350786
Miyagi, 宮城県, Sendai-shi, 7285.77, 2326735, 1129926, 1196809, -21430, 2314761
Nagano, 長野県, Nagano-shi, 13562.23, 2142167, 1041409, 1100758, -10282, 2115329
Gifu, 岐阜県, Gifu-shi, 10621.17, 2070908, 1002276, 1068632, -9865, 2037356
Gunma, 群馬県, Maebashi-shi, 6362.33, 2000514, 984456, 1016058, -7554, 1966343
Tochigi, 栃木県, Utsunomiya-shi, 6408.28, 2000010, 993515, 1006495, -7673, 1974639
Fukushima, 福島県, Fukushima-shi, 13782.76, 1989834, 967024, 1022810, -39230, 1981379
Okayama, 岡山県, Okayama-shi, 7113.23, 1940559, 930802, 1009757, -4717, 1922457
Mie, 三重県, Tsu-shi, 5777.31, 1847223, 899880, 947343, -7501, 1816423
Kumamoto, 熊本県, Kumamoto-shi, 7404.79, 1812575, 851512, 961063, -4851, 1805009
Kagoshima, 鹿児島県, Kagoshima-shi, 9188.82, 1698695, 793523, 905172, -7547, 1692899
Yamaguchi, 山口県, Yamaguchi-shi, 6114.09, 1442428, 680028, 762400, -8910, 1430683
Ehime, 愛媛県, Matsuyama-shi, 5678.33, 1423406, 669671, 753735, -8087, 1416061
Nagasaki, 長崎県, Nagasaki-shi, 4105.47, 1417423, 661501, 755922, -9356, 1411261
Shiga, 滋賀県, Ōtsu-shi, 4017.36, 1413513, 698387, 715126, 2736, 1393683
Okinawa, 沖縄県, Naha-shi, 2276.49, 1401066, 687245, 713821, 8248, 1393451
Nara, 奈良県, Nara-shi, 3691.09, 1395845, 660457, 735388, -4883, 1386694
Aomori, 青森県, Aomori-shi, 9644.55, 1362820, 640699, 722121, -10519, 1359540
Iwate, 岩手県, Morioka-shi, 15278.89, 1314076, 627232, 686844, -16071, 1309060
Oita, 大分県, Ōita-shi, 6339.74, 1191430, 562753, 628677, -5099, 1182985
Ishikawa, 石川県, Kanazawa-shi, 4185.67, 1166309, 563490, 602819, -3479, 1156771
Yamagata, 山形県, Yamagata-shi, 9323.46, 1161214, 557200, 604014, -7710, 1155565
Miyazaki, 宮崎県, Miyazaki-shi, 7735.99, 1130983, 531007, 599976, -4250, 1127069
Toyama, 富山県, Toyama-shi, 4247.61, 1087745, 524274, 563471, -5502, 1077203
Akita, 秋田県, Akita-shi, 11636.28, 1074858, 504513, 570345, -11139, 1071848
Wakayama, 和歌山県, Wakayama-shi, 4726.29, 995010, 467776, 527234, -7188, 990288
Kagawa, 香川県, Takamatsu-shi, 1876.55, 991947, 478232, 513715, -3895, 985272
Yamanashi, 山梨県, Kōfu-shi, 4465.37, 857459, 419666, 437793, -5616, 845769
Saga, 佐賀県, Saga-shi, 2439.65, 846787, 398758, 448029, -3001, 843185
Fukui, 福井県, Fukui-shi, 4189.88, 802906, 388396, 414510, -3408, 792667
Tokushima, 徳島県, Tokushima-shi, 4146.74, 780236, 370323, 409913, -5255, 776346
Kochi, 高知県, Kōchi-shi, 7105.16, 758469, 356257, 402212, -5987, 755431
Shimane, 島根県, Matsue-shi, 6707.96, 712292, 340649, 371643, -5105, 707588
Tottori, 鳥取県, Tottori-shi, 3507.28, 585494, 279362, 306132, -3173, 582023